Requested Rect. Yield,Date Completed,Work Center
83.01,2/24/2015,Amada Vipros 5 - Cell #3
81.4,2/24/2015,Amada FMS #1
75.1,2/24/2015,Amada FMS #1
80.3,2/24/2015,FINNSG3
89.6,2/24/2015,FINNSG4
79.5,2/24/2015,Amada FMS #2
80.57,2/24/2015,Amada Vipros 5 - Cell #3
87.6,2/24/2015,FINNSG2
88.5,2/24/2015,FINNSG1
86.8,2/24/2015,FINNSG5
82.9,2/24/2015,FINNSG3
77.89,2/24/2015,Amada Vipros 1 - Cell #1
89.4,2/24/2015,FINNSG4
86.4,2/24/2015,FINNSG1
88.9,2/24/2015,FINNSG4
88.4,2/24/2015,FINNSG5
88.4,2/24/2015,FINNSG2
75.67,2/24/2015,Amada FMS #2
74,2/24/2015,FINNSG3
40.9,2/24/2015,Amada Vipros 1 - Cell #1
72.07,2/24/2015,Amada Vipros 2 - Cell #1
59.52,2/24/2015,Amada Pulsar Laser  - Cell #1
66.21,2/24/2015,Amada FMS #1
86.3,2/24/2015,FINNSG2
87.4,2/24/2015,FINNSG1
59.2,2/24/2015,Amada FMS #2
85.5,2/24/2015,FINNSG3
91.1,2/24/2015,FINNSG2
76.2,2/24/2015,Salvagnini laser
90.5,2/24/2015,FINNSG5
87.3,2/24/2015,FINNSG3
92.3,2/24/2015,FINNSG4
6.27,2/24/2015,Amada Pulsar Laser  - Cell #1
86.2,2/24/2015,FINNSG1
85.2,2/24/2015,FINNSG5
91.9,2/24/2015,FINNSG2
71.14,2/24/2015,Amada Vipros 1 - Cell #1
91,2/24/2015,FINNSG4
145.29,2/24/2015,Salvagnini laser
86.8,2/24/2015,FINNSG5
92.1,2/24/2015,FINNSG2
89.7,2/24/2015,FINNSG5
76.56,2/24/2015,Amada Pulsar Laser  - Cell #1
87.4,2/24/2015,FINNSG5
91.4,2/24/2015,FINNSG4
91.1,2/24/2015,FINNSG1
87.3,2/24/2015,FINNSG3
88.9,2/24/2015,FINNSG2
89.7,2/24/2015,FINNSG3
91.1,2/24/2015,FINNSG4
74.62,2/24/2015,Amada Pulsar Laser  - Cell #1
84.4,2/24/2015,FINNSG1
90,2/24/2015,FINNSG5
68.15,2/24/2015,Amada Vipros 1 - Cell #1
62.28,2/24/2015,Amada FMS #2
89.8,2/24/2015,FINNSG2
77.08,2/24/2015,Amada Vipros 2 - Cell #1
68.21,2/24/2015,Amada FMS #1
86.4,2/24/2015,FINNSG3
88.8,2/24/2015,FINNSG2
92.7,2/24/2015,FINNSG4
91.7,2/24/2015,FINNSG4
80.1,2/24/2015,FINNSG1
90.8,2/24/2015,FINNSG4
90.7,2/24/2015,FINNSG2
90,2/24/2015,FINNSG3
91.4,2/24/2015,FINNSG4
89.3,2/24/2015,FINNSG2
88.9,2/24/2015,FINNSG4
52.92,2/24/2015,Amada Pulsar Laser  - Cell #1
72.2,2/24/2015,FINNSG5
88.9,2/24/2015,FINNSG4
88,2/24/2015,FINNSG5
81.1,2/24/2015,FINNSG2
90.5,2/24/2015,FINNSG3
84.5,2/24/2015,FINNSG5
29.17,2/24/2015,Amada Vipros 5 - Cell #3
86.5,2/24/2015,FINNSG5
86.4,2/24/2015,FINNSG2
84.2,2/24/2015,FINNSG1
83.43,2/24/2015,Amada FMS #2
79.18,2/24/2015,Amada FMS #2
78.74,2/24/2015,Salvagnini laser
89.7,2/24/2015,FINNSG2
90.4,2/24/2015,FINNSG3
87.4,2/24/2015,FINNSG4
62.69,2/24/2015,Amada Vipros 1 - Cell #1
25.47,2/24/2015,Amada Pulsar Laser  - Cell #1
90.7,2/24/2015,FINNSG2
76.24,2/24/2015,Amada FMS #1
67.91,2/24/2015,Salvagnini laser
88.9,2/24/2015,FINNSG4
71.7,2/24/2015,FINNSG5
88.3,2/24/2015,FINNSG3
26.4,2/24/2015,Salvagnini laser
89,2/24/2015,FINNSG2
87.9,2/24/2015,FINNSG2
82.8,2/24/2015,FINNSG1
83.2,2/24/2015,FINNSG4
88.2,2/24/2015,FINNSG3
88.32,2/24/2015,Salvagnini laser
89.1,2/24/2015,FINNSG2
91.2,2/24/2015,FINNSG5
88.9,2/24/2015,FINNSG4
63.43,2/24/2015,Amada FMS #2
73.3,2/24/2015,Amada FMS #2
88,2/24/2015,FINNSG3
39.6,2/24/2015,FINNSG1
64.77,2/24/2015,Amada Vipros 1 - Cell #1
85.8,2/24/2015,FINNSG2
57.35,2/24/2015,Salvagnini laser
78.8,2/24/2015,Amada FMS #2
86.9,2/24/2015,FINNSG4
89.5,2/24/2015,FINNSG5
87.1,2/24/2015,FINNSG1
87.5,2/24/2015,FINNSG2
88.3,2/24/2015,FINNSG3
89.3,2/24/2015,FINNSG5
71.83,2/24/2015,Amada Vipros 3 - Cell #2
91,2/24/2015,FINNSG4
73.54,2/24/2015,Amada FMS #2
89.6,2/24/2015,FINNSG5
80.98,2/24/2015,Salvagnini laser
85.8,2/24/2015,FINNSG2
71.27,2/24/2015,Amada Vipros 1 - Cell #1
86.1,2/24/2015,FINNSG2
61.21,2/24/2015,Amada FMS #2
77.89,2/24/2015,Amada FMS #1
78.23,2/24/2015,Amada FMS #1
90.3,2/24/2015,FINNSG4
91.9,2/24/2015,FINNSG5
57.57,2/24/2015,Amada FMS #2
88.4,2/24/2015,FINNSG5
73.62,2/24/2015,Amada Pulsar Laser  - Cell #1
81.8,2/24/2015,FINNSG2
86.8,2/24/2015,FINNSG5
76.91,2/24/2015,Salvagnini laser
82.6,2/24/2015,FINNSG2
67.93,2/24/2015,Amada Vipros 1 - Cell #1
67.11,2/24/2015,Salvagnini laser
85.6,2/24/2015,FINNSG4
87.5,2/24/2015,FINNSG2
90.8,2/24/2015,FINNSG2
78.7,2/24/2015,FINNSG5
92.2,2/24/2015,FINNSG1
71.46,2/24/2015,Amada Vipros 3 - Cell #2
30.81,2/24/2015,Amada Pulsar Laser  - Cell #1
90.2,2/24/2015,FINNSG2
87.2,2/24/2015,FINNSG4
82.7,2/24/2015,FINNSG2
66.46,2/24/2015,Amada Vipros 3 - Cell #2
27.9,2/24/2015,Amada Pulsar Laser  - Cell #1
89.3,2/24/2015,FINNSG1
89.3,2/24/2015,FINNSG5
88,2/24/2015,FINNSG4
84.5,2/24/2015,FINNSG2
89.1,2/24/2015,FINNSG4
87.8,2/24/2015,FINNSG5
68.29,2/24/2015,Amada Vipros 1 - Cell #1
88.5,2/24/2015,FINNSG3
89.7,2/24/2015,FINNSG1
80.3,2/24/2015,FINNSG2
79.96,2/24/2015,Salvagnini laser
79.3,2/24/2015,FINNSG5
82.7,2/24/2015,FINNSG5
59.55,2/24/2015,Amada Vipros 1 - Cell #1
86.1,2/24/2015,FINNSG4
90.6,2/24/2015,FINNSG1
87.4,2/24/2015,FINNSG5
79.2,2/24/2015,FINNSG2
72.62,2/24/2015,Amada FMS #2
67.16,2/24/2015,Amada Pulsar Laser  - Cell #1
90.7,2/24/2015,FINNSG1
87.3,2/24/2015,FINNSG5
90.3,2/24/2015,FINNSG2
91.4,2/24/2015,FINNSG3
79.1,2/24/2015,FINNSG5
16.37,2/24/2015,Amada Pulsar Laser  - Cell #1
91.7,2/24/2015,FINNSG1
76.58,2/24/2015,Amada FMS #1
77.89,2/24/2015,Amada FMS #1
87.3,2/24/2015,FINNSG2
87.7,2/24/2015,FINNSG2
87.1,2/24/2015,FINNSG4
90.7,2/24/2015,FINNSG2
71.2,2/24/2015,FINNSG5
72.67,2/24/2015,Amada Vipros 1 - Cell #1
92.7,2/24/2015,FINNSG1
90.6,2/24/2015,FINNSG3
78.23,2/24/2015,Amada FMS #1
81.4,2/24/2015,Amada FMS #1
67.08,2/24/2015,Amada Vipros 3 - Cell #2
89.3,2/24/2015,FINNSG1
89,2/24/2015,FINNSG5
91.4,2/24/2015,FINNSG2
91.6,2/24/2015,FINNSG1
90.2,2/24/2015,FINNSG4
91.3,2/24/2015,FINNSG2
82.4,2/24/2015,FINNSG1
44.46,2/24/2015,Amada Vipros 1 - Cell #1
75.53,2/24/2015,Amada FMS #2
84,2/24/2015,FINNSG3
95.76,2/24/2015,Salvagnini laser
90.9,2/24/2015,FINNSG4
42.03,2/24/2015,Amada Pulsar Laser  - Cell #1
5.56,2/24/2015,Salvagnini laser
85,2/24/2015,FINNSG5
41.67,2/24/2015,Amada Vipros 1 - Cell #1
89.8,2/24/2015,FINNSG2
86.9,2/25/2015,FINNSG4
91.1,2/25/2015,FINNSG5
92,2/25/2015,FINNSG1
69.32,2/25/2015,Amada Vipros 3 - Cell #2
91.8,2/25/2015,FINNSG4
81.68,2/25/2015,Amada FMS #1
74.81,2/25/2015,Amada FMS #1
79.31,2/25/2015,Amada FMS #1
90.2,2/25/2015,FINNSG3
76.62,2/25/2015,Amada FMS #2
89.5,2/25/2015,FINNSG2
91.9,2/25/2015,FINNSG3
43.16,2/25/2015,Amada Vipros 1 - Cell #1
83.6,2/25/2015,FINNSG5
89.1,2/25/2015,FINNSG4
75.53,2/25/2015,Amada FMS #2
89.5,2/25/2015,FINNSG3
12.07,2/25/2015,Amada Pulsar Laser  - Cell #1
87.7,2/25/2015,FINNSG1
88.5,2/25/2015,FINNSG3
84.73,2/25/2015,Amada FMS #2
40.92,2/25/2015,Salvagnini laser
80.89,2/25/2015,Amada FMS #1
64.37,2/25/2015,Amada FMS #1
86.5,2/25/2015,FINNSG2
76.51,2/25/2015,Amada FMS #2
91.8,2/25/2015,FINNSG5
90.1,2/25/2015,FINNSG4
67.91,2/25/2015,Amada Vipros 1 - Cell #1
89.1,2/25/2015,FINNSG1
89.8,2/25/2015,FINNSG4
70.34,2/25/2015,Amada Vipros 3 - Cell #2
89.2,2/25/2015,FINNSG2
90.4,2/25/2015,FINNSG5
88.4,2/25/2015,FINNSG3
72.89,2/25/2015,Amada FMS #2
85.7,2/25/2015,FINNSG1
87.2,2/25/2015,FINNSG5
76.82,2/25/2015,Amada Pulsar Laser  - Cell #1
86.7,2/25/2015,FINNSG2
96.43,2/25/2015,Salvagnini laser
20.08,2/25/2015,Amada Pulsar Laser  - Cell #1
72,2/25/2015,FINNSG1
76.49,2/25/2015,Amada FMS #1
78.31,2/25/2015,Amada FMS #1
70.82,2/25/2015,Amada FMS #1
90.9,2/25/2015,FINNSG3
88.2,2/25/2015,FINNSG4
88.7,2/25/2015,FINNSG1
85.2,2/25/2015,FINNSG5
54.01,2/25/2015,Amada Pulsar Laser  - Cell #1
91.6,2/25/2015,FINNSG3
62.37,2/25/2015,Amada Vipros 1 - Cell #1
72.2,2/25/2015,Amada FMS #2
89.8,2/25/2015,FINNSG5
72.56,2/25/2015,Amada Vipros 3 - Cell #2
91.5,2/25/2015,FINNSG3
87.7,2/25/2015,FINNSG3
74.98,2/25/2015,Amada Vipros 1 - Cell #1
87.9,2/25/2015,FINNSG1
84,2/25/2015,FINNSG5
88.5,2/25/2015,FINNSG4
89.4,2/25/2015,FINNSG3
75.6,2/25/2015,Amada FMS #1
32.38,2/25/2015,Amada Pulsar Laser  - Cell #1
88.7,2/25/2015,FINNSG1
89.6,2/25/2015,FINNSG5
80.07,2/25/2015,Amada FMS #2
87.63,2/25/2015,Salvagnini laser
88.4,2/25/2015,FINNSG4
91.1,2/25/2015,FINNSG3
79.11,2/25/2015,Amada Vipros 3 - Cell #2
82.5,2/25/2015,FINNSG1
0.65,2/25/2015,Amada Pulsar Laser  - Cell #1
85.4,2/25/2015,FINNSG5
0.15,2/25/2015,Amada Pulsar Laser  - Cell #1
89.7,2/25/2015,FINNSG3
88.6,2/25/2015,FINNSG4
92.5,2/25/2015,FINNSG3
0.73,2/25/2015,Amada Pulsar Laser  - Cell #1
80.57,2/25/2015,Amada FMS #2
89.7,2/25/2015,FINNSG3
88,2/25/2015,FINNSG4
70.78,2/25/2015,Amada Vipros 3 - Cell #2
36.55,2/25/2015,Amada Pulsar Laser  - Cell #1
88.6,2/25/2015,FINNSG3
20.51,2/25/2015,Salvagnini laser
77.4,2/25/2015,FINNSG1
88.1,2/25/2015,FINNSG5
92.1,2/25/2015,FINNSG3
89,2/25/2015,FINNSG1
60.92,2/25/2015,Amada Pulsar Laser  - Cell #1
89.9,2/25/2015,FINNSG5
90.26,2/25/2015,Salvagnini laser
86.7,2/25/2015,FINNSG1
28.56,2/25/2015,Amada Pulsar Laser  - Cell #1
28.56,2/25/2015,Amada Pulsar Laser  - Cell #1
91.8,2/25/2015,FINNSG2
85.8,2/25/2015,FINNSG3
69.55,2/25/2015,Amada Vipros 1 - Cell #1
88.3,2/25/2015,FINNSG4
82.3,2/25/2015,FINNSG5
79.46,2/25/2015,Amada FMS #2
74.7,2/25/2015,FINNSG5
87.6,2/25/2015,FINNSG3
54.01,2/25/2015,Amada Pulsar Laser  - Cell #1
90.5,2/25/2015,FINNSG3
76.61,2/25/2015,Amada FMS #2
89.9,2/25/2015,FINNSG4
67.22,2/25/2015,Amada Vipros 1 - Cell #1
8.79,2/25/2015,Amada Pulsar Laser  - Cell #1
88.1,2/25/2015,FINNSG3
90.3,2/25/2015,FINNSG4
60.36,2/25/2015,Amada Vipros 3 - Cell #2
52.85,2/25/2015,Amada Vipros 1 - Cell #1
88.5,2/25/2015,FINNSG5
45.71,2/25/2015,Amada Vipros 1 - Cell #1
69.95,2/25/2015,Amada FMS #2
91.4,2/25/2015,FINNSG3
87.89,2/25/2015,Salvagnini laser
85.8,2/25/2015,FINNSG1
88.1,2/25/2015,FINNSG4
88.4,2/25/2015,FINNSG5
36.65,2/25/2015,Amada Pulsar Laser  - Cell #1
89.7,2/25/2015,FINNSG4
88.3,2/25/2015,FINNSG2
90.5,2/25/2015,FINNSG4
87.5,2/25/2015,FINNSG4
87.2,2/25/2015,FINNSG4
74.34,2/25/2015,Amada FMS #2
89.5,2/25/2015,FINNSG5
65.47,2/25/2015,Amada Pulsar Laser  - Cell #1
91.7,2/25/2015,FINNSG3
89.5,2/25/2015,FINNSG1
76.91,2/25/2015,Amada Vipros 3 - Cell #2
65.28,2/25/2015,Amada Vipros 3 - Cell #2
90.4,2/25/2015,FINNSG4
89.5,2/25/2015,FINNSG1
88.6,2/25/2015,FINNSG3
92.3,2/25/2015,FINNSG5
82.4,2/25/2015,FINNSG1
88.6,2/25/2015,FINNSG3
87.2,2/25/2015,FINNSG4
91.3,2/25/2015,FINNSG4
33.01,2/25/2015,Amada Vipros 1 - Cell #1
90.3,2/25/2015,FINNSG3
90.6,2/25/2015,FINNSG4
89.22,2/25/2015,Salvagnini laser
12.81,2/25/2015,Amada Pulsar Laser  - Cell #1
88.7,2/25/2015,FINNSG5
88.6,2/25/2015,FINNSG3
53.32,2/25/2015,Amada Vipros 3 - Cell #2
93.1,2/25/2015,FINNSG5
51.24,2/25/2015,Amada Vipros 1 - Cell #1
78.9,2/25/2015,FINNSG1
89.9,2/25/2015,FINNSG4
91.4,2/25/2015,FINNSG4
73.31,2/25/2015,Amada FMS #2
89.2,2/25/2015,FINNSG3
76.35,2/25/2015,Amada Pulsar Laser  - Cell #1
77.31,2/25/2015,Amada Vipros 3 - Cell #2
87.3,2/25/2015,FINNSG5
51.24,2/25/2015,Amada Vipros 1 - Cell #1
87.7,2/25/2015,FINNSG3
76.96,2/25/2015,Amada FMS #1
54.06,2/25/2015,Amada FMS #1
49.84,2/25/2015,Amada Pulsar Laser  - Cell #1
90.5,2/25/2015,FINNSG3
88.4,2/25/2015,FINNSG4
89.6,2/25/2015,FINNSG2
39.6,2/25/2015,Amada Pulsar Laser  - Cell #1
27.33,2/25/2015,Amada Pulsar Laser  - Cell #1
89.7,2/25/2015,FINNSG3
89.1,2/25/2015,FINNSG5
90.8,2/25/2015,FINNSG1
90.5,2/25/2015,FINNSG4
17.92,2/25/2015,Amada Vipros 3 - Cell #2
88.1,2/25/2015,FINNSG3
74.34,2/25/2015,Amada FMS #2
88.7,2/25/2015,FINNSG5
87.7,2/25/2015,FINNSG4
49.58,2/25/2015,Salvagnini laser
70.95,2/25/2015,Amada Pulsar Laser  - Cell #1
89.6,2/25/2015,FINNSG2
90.9,2/25/2015,FINNSG4
91,2/25/2015,FINNSG2
90,2/25/2015,FINNSG4
90.3,2/25/2015,FINNSG3
14.29,2/25/2015,Amada Pulsar Laser  - Cell #1
88.9,2/25/2015,FINNSG4
13.08,2/25/2015,Amada Pulsar Laser  - Cell #1
89.7,2/25/2015,FINNSG1
87.2,2/25/2015,FINNSG1
43.86,2/25/2015,Amada Pulsar Laser  - Cell #1
78.78,2/25/2015,Amada Vipros 3 - Cell #2
78.59,2/25/2015,Amada Vipros 1 - Cell #1
28.4,2/25/2015,FINNSG1
59.2,2/25/2015,Amada Pulsar Laser  - Cell #1
79.01,2/25/2015,Amada Vipros 1 - Cell #1
88,2/25/2015,FINNSG4
0.66,2/25/2015,Amada Pulsar Laser  - Cell #1
69.56,2/25/2015,Amada Vipros 3 - Cell #2
85,2/25/2015,FINNSG1
79.08,2/25/2015,Amada Vipros 1 - Cell #1
3.61,2/25/2015,Amada Pulsar Laser  - Cell #1
89.9,2/25/2015,FINNSG1
90.3,2/25/2015,FINNSG1
87.8,2/25/2015,FINNSG1
88.4,2/25/2015,FINNSG4
72.99,2/25/2015,Amada Vipros 1 - Cell #1
73.31,2/25/2015,Amada FMS #2
75.01,2/25/2015,Amada FMS #2
73.49,2/25/2015,Amada FMS #2
87,2/25/2015,FINNSG4
91.3,2/25/2015,FINNSG3
132.97,2/25/2015,Salvagnini laser
73.74,2/25/2015,Amada Vipros 1 - Cell #1
86.9,2/25/2015,FINNSG2
90.3,2/25/2015,FINNSG3
92.1,2/25/2015,FINNSG4
35.92,2/25/2015,Amada Pulsar Laser  - Cell #1
77.19,2/25/2015,Amada Vipros 3 - Cell #2
43.05,2/25/2015,Amada Vipros 2 - Cell #1
72.18,2/25/2015,Amada Vipros 1 - Cell #1
21.3,2/25/2015,Amada Pulsar Laser  - Cell #1
87.3,2/25/2015,FINNSG3
91.9,2/25/2015,FINNSG2
87.8,2/25/2015,FINNSG3
82.8,2/25/2015,FINNSG2
87.7,2/25/2015,FINNSG5
39.69,2/25/2015,Amada Vipros 2 - Cell #1
72.78,2/25/2015,Amada Vipros 1 - Cell #1
89.5,2/25/2015,FINNSG3
78.7,2/25/2015,Amada Vipros 5 - Cell #3
69.96,2/25/2015,Amada Vipros 5 - Cell #3
92.9,2/25/2015,FINNSG2
92,2/25/2015,FINNSG4
76.16,2/25/2015,Amada Vipros 3 - Cell #2
88.7,2/25/2015,FINNSG5
93.4,2/25/2015,FINNSG4
78.53,2/25/2015,Amada Vipros 1 - Cell #1
13.6,2/25/2015,Amada Pulsar Laser  - Cell #1
88.7,2/25/2015,FINNSG2
90.7,2/25/2015,FINNSG3
90.6,2/25/2015,FINNSG3
90.4,2/25/2015,FINNSG5
81.5,2/25/2015,Amada Vipros 3 - Cell #2
92.8,2/25/2015,FINNSG1
85.5,2/25/2015,FINNSG3
90.2,2/25/2015,FINNSG4
91.3,2/25/2015,FINNSG2
88.4,2/25/2015,FINNSG3
92.1,2/25/2015,FINNSG3
81.77,2/25/2015,Amada Vipros 1 - Cell #1
87.7,2/25/2015,FINNSG5
91.5,2/25/2015,FINNSG4
92,2/25/2015,FINNSG1
88,2/25/2015,FINNSG3
92.2,2/25/2015,FINNSG1
76.56,2/25/2015,Amada Pulsar Laser  - Cell #1
48.89,2/25/2015,Amada Vipros 2 - Cell #1
80.52,2/25/2015,Amada Vipros 1 - Cell #1
142.16,2/25/2015,Salvagnini laser
86.1,2/25/2015,FINNSG2
89.9,2/25/2015,FINNSG4
89.4,2/25/2015,FINNSG3
84.4,2/25/2015,FINNSG2
69.7,2/25/2015,Amada Vipros 3 - Cell #2
78.19,2/25/2015,Salvagnini laser
59.1,2/25/2015,Amada Pulsar Laser  - Cell #1
90.8,2/25/2015,FINNSG2
88.6,2/25/2015,FINNSG4
87.4,2/25/2015,FINNSG3
92.8,2/25/2015,FINNSG2
72.98,2/25/2015,Amada Vipros 1 - Cell #1
87.5,2/25/2015,FINNSG4
89.8,2/25/2015,FINNSG3
76,2/25/2015,Amada Vipros 3 - Cell #2
91.3,2/25/2015,FINNSG1
68.91,2/25/2015,Amada Vipros 1 - Cell #1
91.4,2/25/2015,FINNSG4
89.6,2/25/2015,FINNSG3
92,2/25/2015,FINNSG1
91.1,2/25/2015,FINNSG1
74.15,2/25/2015,Amada Vipros 3 - Cell #2
90,2/25/2015,FINNSG3
85,2/25/2015,FINNSG2
77.61,2/25/2015,Amada Vipros 1 - Cell #1
87.6,2/25/2015,FINNSG4
40.63,2/25/2015,Amada Pulsar Laser  - Cell #1
85.9,2/25/2015,FINNSG2
65.72,2/25/2015,Amada Vipros 3 - Cell #2
88.7,2/25/2015,FINNSG3
83.43,2/25/2015,Amada FMS #2
79.18,2/25/2015,Amada FMS #2
78.94,2/25/2015,Amada FMS #2
84.34,2/25/2015,Amada Vipros 1 - Cell #1
63.68,2/25/2015,Amada Pulsar Laser  - Cell #1
86.4,2/25/2015,FINNSG3
87.2,2/25/2015,FINNSG2
91.4,2/25/2015,FINNSG4
83.76,2/25/2015,Amada Vipros 5 - Cell #3
91.8,2/25/2015,FINNSG1
89.8,2/25/2015,FINNSG4
89,2/25/2015,FINNSG2
92.1,2/25/2015,FINNSG1
75.29,2/25/2015,Amada Pulsar Laser  - Cell #1
81,2/25/2015,FINNSG1
75.28,2/25/2015,Amada Vipros 1 - Cell #1
81.2,2/25/2015,Amada Vipros 5 - Cell #3
127.22,2/25/2015,Salvagnini laser
86.5,2/25/2015,FINNSG2
89.5,2/25/2015,FINNSG3
86.3,2/25/2015,FINNSG3
87.1,2/25/2015,FINNSG4
76.13,2/25/2015,Amada Vipros 1 - Cell #1
91.5,2/25/2015,FINNSG1
91.3,2/25/2015,FINNSG2
2.94,2/25/2015,Salvagnini laser
87.9,2/25/2015,FINNSG3
75.54,2/25/2015,Amada Vipros 3 - Cell #2
22.59,2/25/2015,Amada Pulsar Laser  - Cell #1
91.2,2/25/2015,FINNSG1
85.5,2/25/2015,FINNSG1
90,2/25/2015,FINNSG4
88.9,2/25/2015,FINNSG3
91.8,2/25/2015,FINNSG2
30,2/25/2015,Salvagnini laser
53.95,2/25/2015,Amada Vipros 2 - Cell #1
43.89,2/25/2015,Amada Pulsar Laser  - Cell #1
75.66,2/25/2015,Amada FMS #2
71.75,2/25/2015,Amada FMS #2
78.99,2/25/2015,Amada FMS #2
82.18,2/25/2015,Amada Vipros 5 - Cell #3
87.7,2/25/2015,FINNSG3
83.7,2/25/2015,FINNSG1
90.2,2/25/2015,FINNSG4
92.1,2/25/2015,FINNSG2
90.7,2/25/2015,FINNSG3
89.3,2/25/2015,FINNSG3
90.7,2/25/2015,FINNSG4
88,2/25/2015,FINNSG3
79.79,2/25/2015,Amada Vipros 1 - Cell #1
78.24,2/25/2015,Amada Vipros 3 - Cell #2
89.6,2/25/2015,FINNSG3
89.8,2/25/2015,FINNSG1
73.65,2/25/2015,Amada FMS #2
89.2,2/25/2015,FINNSG4
91.3,2/25/2015,FINNSG3
74.79,2/25/2015,Amada Vipros 1 - Cell #1
86.2,2/25/2015,FINNSG1
90,2/25/2015,FINNSG4
92,2/25/2015,FINNSG3
76.68,2/25/2015,Amada Vipros 1 - Cell #1
70.22,2/25/2015,Amada FMS #1
80.56,2/25/2015,Amada Vipros 2 - Cell #1
90.8,2/25/2015,FINNSG4
89.3,2/25/2015,FINNSG1
88.6,2/25/2015,FINNSG3
75.07,2/25/2015,Amada Vipros 3 - Cell #2
77.17,2/25/2015,Amada FMS #2
88.5,2/25/2015,FINNSG3
85.5,2/25/2015,FINNSG1
65.71,2/25/2015,Amada FMS #2
58.64,2/25/2015,Amada Pulsar Laser  - Cell #1
91.8,2/25/2015,FINNSG3
76.46,2/25/2015,Salvagnini laser
58.64,2/25/2015,Amada Pulsar Laser  - Cell #1
82,2/25/2015,Amada Vipros 5 - Cell #3
18.89,2/25/2015,Salvagnini laser
91,2/25/2015,FINNSG4
86.5,2/25/2015,FINNSG3
7.84,2/25/2015,Salvagnini laser
64.89,2/25/2015,Amada FMS #2
85.8,2/25/2015,FINNSG2
92.3,2/25/2015,FINNSG5
88.6,2/25/2015,FINNSG3
88.2,2/25/2015,FINNSG2
81.02,2/25/2015,Amada Pulsar Laser  - Cell #1
3.33,2/25/2015,Salvagnini laser
86.5,2/25/2015,FINNSG3
89.9,2/25/2015,FINNSG4
86.8,2/25/2015,FINNSG5
84.7,2/25/2015,FINNSG2
88.3,2/25/2015,FINNSG1
75.32,2/25/2015,Amada Vipros 1 - Cell #1
81.2,2/25/2015,Salvagnini laser
54.98,2/25/2015,Amada FMS #2
86.9,2/25/2015,FINNSG4
67.92,2/25/2015,Amada Pulsar Laser  - Cell #1
81.5,2/25/2015,FINNSG2
89.1,2/25/2015,FINNSG5
86.7,2/25/2015,FINNSG5
89.5,2/25/2015,FINNSG3
79.8,2/25/2015,FINNSG1
89.6,2/25/2015,FINNSG4
92.9,2/25/2015,FINNSG2
87.8,2/25/2015,FINNSG1
86,2/25/2015,FINNSG3
81.8,2/25/2015,FINNSG5
92,2/25/2015,FINNSG2
88.6,2/25/2015,FINNSG5
82.6,2/25/2015,FINNSG3
88.3,2/25/2015,FINNSG4
61.21,2/25/2015,Amada Pulsar Laser  - Cell #1
91.2,2/25/2015,FINNSG2
77.76,2/25/2015,Amada FMS #1
75.19,2/25/2015,Amada Vipros 1 - Cell #1
86.5,2/25/2015,FINNSG4
85.1,2/25/2015,FINNSG1
88,2/25/2015,FINNSG5
10.61,2/25/2015,Amada Pulsar Laser  - Cell #1
101.33,2/25/2015,Salvagnini laser
90.2,2/25/2015,FINNSG3
90.3,2/25/2015,FINNSG2
90.1,2/25/2015,FINNSG4
89.4,2/25/2015,FINNSG5
49.9,2/25/2015,FINNSG1
27.96,2/25/2015,Salvagnini laser
80.57,2/25/2015,Amada FMS #2
75.26,2/25/2015,Amada FMS #2
74.67,2/25/2015,Amada FMS #2
86.8,2/25/2015,FINNSG5
90.1,2/25/2015,FINNSG3
83.03,2/25/2015,Amada Vipros 1 - Cell #1
88,2/25/2015,FINNSG4
69.96,2/25/2015,Amada FMS #1
76.82,2/25/2015,Amada Vipros 1 - Cell #1
50.2,2/25/2015,FINNSG1
87.5,2/25/2015,FINNSG2
86.9,2/25/2015,FINNSG3
90.7,2/25/2015,FINNSG1
90,2/25/2015,FINNSG4
86.1,2/25/2015,FINNSG2
69.13,2/25/2015,Amada Pulsar Laser  - Cell #1
92.4,2/25/2015,FINNSG4
48.59,2/25/2015,Amada Vipros 1 - Cell #1
61.69,2/25/2015,Amada Vipros 2 - Cell #1
88.4,2/25/2015,FINNSG2
90.7,2/25/2015,FINNSG1
63.48,2/25/2015,Amada FMS #2
69.95,2/25/2015,Amada FMS #2
90.5,2/25/2015,FINNSG1
88.4,2/25/2015,FINNSG3
29.83,2/25/2015,Amada Pulsar Laser  - Cell #1
85.3,2/25/2015,FINNSG1
77.21,2/25/2015,Amada FMS #1
88.5,2/25/2015,FINNSG4
88,2/25/2015,FINNSG5
84.1,2/25/2015,FINNSG2
71.56,2/25/2015,Amada Vipros 1 - Cell #1
63.11,2/25/2015,Amada FMS #2
74.21,2/25/2015,Amada FMS #2
90,2/25/2015,FINNSG3
89.3,2/25/2015,FINNSG4
80.75,2/25/2015,Amada FMS #1
88.7,2/25/2015,FINNSG3
85.9,2/25/2015,FINNSG1
108.97,2/25/2015,Salvagnini laser
89,2/25/2015,FINNSG5
91.6,2/25/2015,FINNSG5
88.7,2/25/2015,FINNSG4
91.2,2/25/2015,FINNSG5
88.3,2/25/2015,FINNSG2
82.73,2/25/2015,Amada Vipros 5 - Cell #3
88.9,2/25/2015,FINNSG5
91.6,2/25/2015,FINNSG3
91.6,2/25/2015,FINNSG4
88.9,2/25/2015,FINNSG1
